X,Y,R,Res
-400112.2204,2919440.384,0,1
120967.1197,3019672.334,0,1
31895.9962,3467258.534,1,1
-88029.2975,3510551.591,1,1
-87929.1675,3502331.68,1,1
-86871.8022,3506216.982,1,1
-85821.1951,3504780.543,1,1
-92933.2695,3503454.626,1,1
-92933.2695,3503454.626,1,1
-88056.0212,3508315.014,1,1
-87077.8354,3509299.962,1,1
-85047.0683,3509279.524,1,1
-85047.0683,3509279.524,1,1
-85284.4683,3505321.255,1,1
-163787.7662,3293018.602,1,1
-196007.1779,3075375.677,1,1
-196007.1779,3075375.677,1,1
-197507.6257,3075483.172,1,1
-197507.6257,3075483.172,1,1
-197507.6257,3075483.172,1,1
-197507.6257,3075483.172,1,1
-197507.6257,3075483.172,1,1
-197507.6257,3075483.172,1,1
-197673.4305,3074774.874,1,1
-197616.7555,3074179.15,1,1
-197616.7555,3074179.15,1,1
-197616.7555,3074179.15,1,1
-197616.7555,3074179.15,1,1
-192581.5116,3268675.093,1,1
-172066.1495,3274239.554,1,1
240717.8972,3588284.668,1,1
238317.6647,3592500.985,1,1
242424.8149,3589864.079,1,1
239602.3027,3591907.383,1,1
239439.0757,3593458.384,1,1
243242.37,3590454.873,1,1
243097.5943,3590006.286,1,1
236364.2083,3591906.831,1,1
237655.8419,3592918.109,1,1
243437.5436,3585842.833,1,1
243437.5436,3585842.833,1,1
243437.5436,3585842.833,1,1
236549.2003,3585212.124,1,1
236316.887,3585584.134,1,1
241960.8226,3587437.482,1,1
242191.207,3587621.97,1,1
241694.3884,3586826.545,1,1
241756.2011,3588541.465,1,1
229711.1709,3587855.208,1,1
237986.2873,3578884.693,1,1
239579.2721,3578577.972,1,1
243097.5943,3590006.286,1,1
243097.5943,3590006.286,1,1
238085.0937,3578355.753,1,1
237245.0344,3591204.163,1,1
237137.0772,3591809.681,1,1
240044.1348,3593601.967,1,1
-282725.3816,3050389.276,1,1
-252616.4694,3228406.152,1,1
-29708.178,3470360.197,1,1
-29708.178,3470360.197,1,1
-29708.178,3470360.197,1,1
-27094.4712,3466605.299,1,1
-26685.4501,3463062.541,1,1
-21170.4422,3465356.965,1,1
-19234.3474,3466637.277,1,1
-18091.069,3463275.936,1,1
-15374.3551,3465645.149,1,1
-15109.4412,3459356.182,1,1
-14494.3741,3466609.403,1,1
-14313.7848,3464551.555,1,1
-80125.0612,3503884.596,1,1
-75160.8403,3500562.917,1,1
-87076.4353,3500186.219,1,1
-77251.2097,3501489.014,1,1
-31268.6671,3456479.943,1,1
-32139.5147,3455367.302,1,1
-30452.3607,3454759.003,1,1
-29547.9372,3459051.039,1,1
-30029.7837,3454738.458,1,1
-30029.7837,3454738.458,1,1
-27383.0075,3455954.885,1,1
-27383.0075,3455954.885,1,1
-27383.0075,3455954.885,1,1
-27383.0075,3455954.885,1,1
-27383.0075,3455954.885,1,1
-27383.0075,3455954.885,1,1
-27383.0075,3455954.885,1,1
-27383.0075,3455954.885,1,1
-27383.0075,3455954.885,1,1
-24112.6455,3452317.856,1,1
-54769.2966,3463385.585,1,1
-51952.6428,3461069.586,1,1
-61367.7162,3466658.977,1,1
-52872.5818,3462227.219,1,1
-75173.2731,3499387.33,1,1
-78408.7444,3490653.664,1,1
-58271.0594,3464422.379,1,1
