,X,longitude,latitude,P.A,source,density,dem,demstd,population,conservation,tree,rain
16,145,109768.9974,2898021.735,0,B_S,0.039886151,1024.470735,136.2377339,300.2080163,0.012563567,25.15537579,1079.110966
17,146,1245213.354,5700454.95,0,B_S,0.01186487,1006.93131,88.00626971,0.092198247,0.391054317,46.72893334,523.1154608
18,147,302948.4108,2642942.799,0,B_S,0.01211083,627.0654861,100.5364116,69.04569818,0.257579938,56.42180804,1411.912582
19,148,785425.7164,4303257.965,0,B_S,0.01225184,1249.802228,123.2068755,189.9233906,0.104728724,1.446191249,433.5088618
20,149,652091.2824,2677788.312,0,B_S,0.01203239,358.8335051,101.476377,287.6984077,0.015162653,33.81725272,1508.847648
21,150,843759.1625,3414317.161,0,B_S,0.01233697,255.950251,105.0785248,220.3600618,0.18446248,25.06634933,1129.908914
22,151,1051375.789,3186019.502,0,B_S,0.01218121,97.91394446,71.46385013,364.6103905,0.211653058,20.1108112,1657.085396
23,152,905885.2754,2852964.67,0,B_S,0.01206612,456.0625258,141.2780122,194.2356759,0.132626883,61.43248248,1610.388657
24,153,1360203.664,3313366.658,0,B_S,0.01212908,312.5247815,126.7287896,103.2528829,0.083948876,64.66984276,1400.268271
25,154,594666.5928,4170717.898,0,B_S,0.01980361,1695.120616,124.4051646,43.09150112,0.165300575,13.52057377,490.2331731
26,155,732361.5221,4887370.723,0,B_S,0.01204927,1396.700135,24.07070344,0.297210055,0,0,247.8361869
27,156,632497.8393,4114287.853,0,B_S,0.01915903,1253.268569,119.4265499,288.6429427,0.001796743,11.95906718,442.1542901
28,157,710083.2973,3816650.04,0,B_S,0.015763059,722.4887367,114.2422217,460.1401506,0.07680301,15.69293912,639.254369
29,158,-337045.0015,3493703.863,0,B_S,0.032597572,3943.292137,175.2419992,16.1478129,0.769579558,0.012029976,718.0654207
30,159,897358.8706,4407661.799,0,B_S,0.01228893,912.890155,151.7845723,216.1554082,0.17119916,9.968871765,461.4551537
31,160,541907.6809,3923109.702,0,B_S,0.01236847,1265.944263,94.7542786,92.68275183,0.090275414,16.12473059,536.7349959
32,161,-1325796.907,3227733.623,0,B_S,0.01232182,4379.352879,286.3502761,93.68439776,0.442987728,0.521758021,332.655516
33,162,-209713.8608,2737058.77,0,B_S,0.03710388,2498.228514,339.8941297,120.4112172,0.040700402,20.77350594,952.1818534
34,163,1619755.086,5111740.022,0,B_S,0.01226286,134.1151073,6.182643225,164.5666506,0.229006074,0.170537817,522.8500224
35,164,1501551.174,4433332.782,0,B_S,0.01236855,194.486523,86.44148192,134.7275316,0.021752379,6.884536631,776.6525972
36,165,421565.7382,3255014.993,0,B_S,0.01239001,1116.504309,252.2297284,173.1398143,0,44.33496704,1348.714761
37,166,1425627.947,3019626.088,0,B_S,0.01204946,832.8451325,210.5140612,84.98822436,0.035544417,67.00846699,1872.414076
38,167,8789.767528,4029371.08,0,B_S,0.01205496,1572.509565,67.03441536,232.2736014,0,0,210.5063143
39,168,1625164.183,2570292.699,1,CT,0.01560311,1803.594205,386.1066518,0,0.422145646,80.0600668,3047.298961
40,170,780761.0003,3117666.937,1,CT,0.01229821,53.79770748,17.36446622,446.9343345,0.423477154,5.830886097,1335.619725
41,172,1632872.053,2486363.808,1,CT,0.01460158,919.3240063,312.8560428,0,0.242064395,59.11927149,3184.005954
42,174,471222.7322,3154459.941,1,CT,0.017312661,816.0175045,187.8774054,95.428919,0.182995144,54.61231707,1456.779454
43,175,2072712.936,4901327.147,1,CT,0.021413879,399.8947044,114.4255176,15.76958311,0.280707693,63.70144535,694.552266
44,176,-617007.3315,2439315.259,1,CT,0.01190125,1006.854248,189.586812,9.64516129,0.213114754,57.41111111,1444.344249
45,177,786799.5483,2620834.393,1,CT,0.01215652,528.4330822,187.1419921,144.2216497,0.085995796,51.79819436,1569.701078
