"","x"
"1","CHELSA_bio_2"
"2","demstd"
"3","CHELSA_bio_15"
"4","CHELSA_bio_12"
"5","CHELSA_bio_3"
"6","tree"
"7","CHELSA_bio_1"
"8","population"
"9","dem"
"10","CHELSA_bio_4"
"11","conservation"
