"","X.1","X","Y","R","density"
"143",217,-431356.619,3146186.579,0,0.027934769
"144",218,-473157.738,3176427.747,0,0.025854979
"145",219,-234966.4913,3110369.362,0,0.112360178
"147",221,-171279.1486,3585810.047,0,0.037305934
"149",223,-156425.9769,3509124.441,0,0.080234275
"150",224,-231156.5812,3555553.802,0,0.030041735
"151",225,-231938.6223,3493705.937,0,0.038852195
"152",226,-246368.3532,3448031.231,0,0.040752444
"153",227,-292479.2406,3479650.089,0,0.026396976
"154",228,-232739.9249,3431896.301,0,0.033142135
"155",229,-394038.422,3450253.869,0,0.073936849
"156",230,-427765.2504,3467081.271,0,0.070691833
"157",231,-411566.7595,3465857.758,0,0.072571706
"158",232,-440195.828,3448998.135,0,0.081236579
"159",233,-425972.7153,3432877.888,0,0.103751566
"160",234,-427410.2465,3404726.099,0,0.135378783
"161",235,-411802.2048,3404688.965,0,0.126274928
"162",236,-411220.3812,3390611.049,0,0.137152724
"163",237,-471143.9298,3374028.715,0,0.124463908
"164",238,-439927.8363,3373935.9,0,0.163049541
"165",239,-454982.1142,3357237.221,0,0.156481708
"166",240,-441971.6768,3357196.496,0,0.165954917
"169",243,-396424.9337,3356393.406,0,0.118174106
"170",244,-399821.4662,3328935.258,0,0.101088199
"171",245,-410907.453,3325621.353,0,0.111616225
"173",247,-457750.7554,3329127.428,0,0.133531562
"174",248,-471426.9047,3327168.959,0,0.117705387
"175",249,-484323.5681,3345285.573,0,0.111936459
"176",250,-531903.4859,3328743.819,0,0.046230529
"177",251,-559514.3946,3376333.886,0,0.032846855
"178",252,-573603.7387,3405144.187,0,0.025550053
"179",253,-501654.0988,3283145.294,0,0.038017342
"180",254,-353235.0865,3267172.795,0,0.016545895
"182",256,-400112.2204,2919440.384,0,0.095391717
"185",259,120967.1197,3019672.334,0,0.08976974
"1",1,31895.9962,3467258.534,1,NA
"2",29,-88029.2975,3510551.591,1,0.415487679
"3",30,-87929.1675,3502331.68,1,0.482530465
"4",31,-86871.8022,3506216.982,1,0.464210531
"5",32,-85821.1951,3504780.543,1,0.48593182
"6",36,-92933.2695,3503454.626,1,0.427306914
"7",37,-92933.2695,3503454.626,1,0.427306914
"8",38,-88056.0212,3508315.014,1,0.435645476
"9",39,-87077.8354,3509299.962,1,0.436054505
"10",41,-85047.0683,3509279.524,1,0.457492436
"11",42,-85047.0683,3509279.524,1,0.457492436
"12",43,-85284.4683,3505321.255,1,0.478991418
"13",77,-163787.7662,3293018.602,1,0.037071232
"14",78,-196007.1779,3075375.677,1,0.205384485
"15",79,-196007.1779,3075375.677,1,0.205384485
"16",80,-197507.6257,3075483.172,1,0.2055487
"17",81,-197507.6257,3075483.172,1,0.2055487
"18",82,-197507.6257,3075483.172,1,0.2055487
"19",83,-197507.6257,3075483.172,1,0.2055487
"20",84,-197507.6257,3075483.172,1,0.2055487
"21",85,-197507.6257,3075483.172,1,0.2055487
"22",86,-197673.4305,3074774.874,1,0.2055487
"23",87,-197616.7555,3074179.15,1,0.205476269
"24",88,-197616.7555,3074179.15,1,0.205476269
"25",89,-197616.7555,3074179.15,1,0.205476269
"26",90,-197616.7555,3074179.15,1,0.205476269
"27",91,-192581.5116,3268675.093,1,0.039406547
"28",92,-172066.1495,3274239.554,1,0.039734919
"29",93,240717.8972,3588284.668,1,0.378854417
"30",94,238317.6647,3592500.985,1,0.377096407
"31",95,242424.8149,3589864.079,1,0.378011456
"32",96,239602.3027,3591907.383,1,0.377869927
"33",97,239439.0757,3593458.384,1,0.376541624
"34",98,243242.37,3590454.873,1,0.377684751
"35",99,243097.5943,3590006.286,1,0.378011456
"36",100,236364.2083,3591906.831,1,0.376933902
"37",101,237655.8419,3592918.109,1,0.376784578
"38",102,243437.5436,3585842.833,1,0.377117025
"39",103,243437.5436,3585842.833,1,0.377117025
"40",104,243437.5436,3585842.833,1,0.377117025
"41",105,236549.2003,3585212.124,1,0.377328264
"42",106,236316.887,3585584.134,1,0.377328264
"43",107,241960.8226,3587437.482,1,0.378545652
"44",108,242191.207,3587621.97,1,0.378545652
"45",109,241694.3884,3586826.545,1,0.378545652
"46",110,241756.2011,3588541.465,1,0.378624613
"47",111,229711.1709,3587855.208,1,0.369560433
"48",112,237986.2873,3578884.693,1,0.371881764
"49",113,239579.2721,3578577.972,1,0.370638671
"50",114,243097.5943,3590006.286,1,0.378011456
"51",115,243097.5943,3590006.286,1,0.378011456
"52",116,238085.0937,3578355.753,1,0.370463789
"53",117,237245.0344,3591204.163,1,0.377842912
