species,lon,lat,
Ursus thibetanus,104.05283,32.99810028,1
Ursus thibetanus,104.8042,32.59328079,1
Ursus thibetanus,104.67822,32.65587997,1
Ursus thibetanus,104.042294,32.9892807,1
Ursus thibetanus,104.652454,32.522748,1
Ursus thibetanus,104.67072,32.5174,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.77335,32.60541916,1
Ursus thibetanus,102.94851,29.112305,1
Ursus thibetanus,102.94851,29.112305,1
Ursus thibetanus,104.73934,32.4959,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.10909,32.92998123,1
Ursus thibetanus,104.70665,32.62263107,1
Ursus thibetanus,104.67801,32.65589142,1
Ursus thibetanus,102.949363,29.123967,1
Ursus thibetanus,104.76383,32.56822968,1
Ursus thibetanus,103.273032,30.81313133,1
Ursus thibetanus,104.77511,32.54822159,1
Ursus thibetanus,104.65464,32.62828827,1
Ursus thibetanus,104.655571,32.523551,1
Ursus thibetanus,104.652824,32.543033,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.67529,32.51723,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,102.94851,29.112305,1
Ursus thibetanus,104.12897,32.95063019,1
Ursus thibetanus,103.32682,31.15382004,1
Ursus thibetanus,103.240098,30.81640053,1
Ursus thibetanus,104.8042,32.59328079,1
Ursus thibetanus,104.79111,32.56657028,1
Ursus thibetanus,104.70665,32.62263107,1
Ursus thibetanus,104.67997,32.64390945,1
Ursus thibetanus,103.98979,32.94573975,1
Ursus thibetanus,104.72658,32.49033,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.84307,32.62292099,1
Ursus thibetanus,104.12897,32.95063019,1
Ursus thibetanus,104.40723,32.59296036,1
Ursus thibetanus,104.77511,32.54822159,1
Ursus thibetanus,104.33558,32.62163925,1
Ursus thibetanus,104.437856,32.57255173,1
Ursus thibetanus,104.8042,32.59328079,1
Ursus thibetanus,104.67801,32.65589142,1
Ursus thibetanus,104.71119,32.59120178,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,102.96496,29.123283,1
Ursus thibetanus,104.68035,32.55552,1
Ursus thibetanus,104.8042,32.59328079,1
Ursus thibetanus,104.65464,32.62828827,1
Ursus thibetanus,102.94851,29.112305,1
Ursus thibetanus,104.07274,32.96295929,1
Ursus thibetanus,102.949363,29.123967,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.651923,32.536441,1
Ursus thibetanus,104.65287,32.62997818,1
Ursus thibetanus,104.79223,32.55966187,1
Ursus thibetanus,104.05539,32.97077179,1
Ursus thibetanus,104.04235,33.00912094,1
Ursus thibetanus,104.70665,32.62263107,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.67529,32.51723,1
Ursus thibetanus,104.04235,33.00912094,1
Ursus thibetanus,104.69065,32.50571,1
Ursus thibetanus,104.62517,32.4876,1
Ursus thibetanus,104.67822,32.65587997,1
Ursus thibetanus,104.7814,32.64089966,1
Ursus thibetanus,102.95716,30.93054962,1
Ursus thibetanus,104.75745,32.56721115,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.67822,32.65587997,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.81399,32.64117813,1
Ursus thibetanus,103.2598,31.06798935,1
Ursus thibetanus,104.16043,32.92959976,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.07274,32.96295929,1
Ursus thibetanus,102.95716,30.93054962,1
Ursus thibetanus,104.79111,32.56657028,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.79899,32.57270813,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.73934,32.4959,1
Ursus thibetanus,104.83654,32.55854034,1
Ursus thibetanus,104.79175,32.62308884,1
Ursus thibetanus,104.68035,32.55552,1
Ursus thibetanus,102.949363,29.123967,1
Ursus thibetanus,104.67072,32.5174,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,103.32682,31.15382004,1
Ursus thibetanus,104.18323,32.92153931,1
Ursus thibetanus,104.652824,32.543033,1
Ursus thibetanus,104.67997,32.64390945,1
Ursus thibetanus,104.70665,32.62263107,1
Ursus thibetanus,104.66183,32.53265,1
Ursus thibetanus,107.59141,33.66195,1
Ursus thibetanus,107.63146,33.66753,1
Ursus thibetanus,102.949363,29.123967,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,102.94851,29.112305,1
Ursus thibetanus,104.05283,32.99810028,1
Ursus thibetanus,104.83356,32.61434937,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.06696,32.95811844,1
Ursus thibetanus,104.79175,32.62308884,1
Ursus thibetanus,104.62517,32.4876,1
Ursus thibetanus,103.28433,31.14847946,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,103.2598,31.06798935,1
Ursus thibetanus,102.95716,30.93054962,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,104.83356,32.61434937,1
Ursus thibetanus,104.67822,32.65587997,1
Ursus thibetanus,104.65287,32.62997818,1
Ursus thibetanus,104.69207,32.55569,1
Ursus thibetanus,104.0443,32.93621826,1
Ursus thibetanus,104.77082,32.61169052,1
Ursus thibetanus,102.947794,29.117613,1
Ursus thibetanus,102.94851,29.112305,1
Ursus thibetanus,102.947794,29.117613,1
Ursus thibetanus,102.94851,29.112305,1
Ursus thibetanus,104.07492,32.99808884,1
Ursus thibetanus,104.79899,32.57270813,1
Ursus thibetanus,104.84506,32.60466003,1
Ursus thibetanus,102.949363,29.123967,1
Ursus thibetanus,104.70387,32.5281,1
Ursus thibetanus,102.94851,29.112305,1
Ursus thibetanus,102.928911,30.952659,1
Ursus thibetanus,104.84506,32.60466003,1
Ursus thibetanus,104.07492,32.99808884,1
Ursus thibetanus,104.7814,32.64089966,1
Ursus thibetanus,104.85492,32.6111908,1
Ursus thibetanus,104.76383,32.56822968,1
Ursus thibetanus,104.84391,32.59180069,1
Ursus thibetanus,104.67822,32.65587997,1
